,Organ,Cell Type,Time Point,Condition,Source,Cell Count,Original Labels
Pancreas NKT cell P1 (MC20),Pancreas,NKT cell,P1,,MC20,86,NKT cell(NeonatalPancreas)
Stomach Progenitor cell E14.5 (MC20),Stomach,Progenitor cell,E14.5,,MC20,289,Progenitor cell(Fetal_Stomache)
Brain Myelinating oligodendrocyte WK6-10 (MC20),Brain,Myelinating oligodendrocyte,WK6-10,,MC20,3150,Myelinating oligodendrocyte(Brain)
Brain Pan GABAergic WK6-10 (MC20),Brain,Pan GABAergic,WK6-10,,MC20,26,Pan-GABAergic(Brain)
Lung Neutrophil E14.5 [S100a8 high] (MC20),Lung,Neutrophil,E14.5,S100a8 high,MC20,155,Neutrophil_S100a8 high(Fetal_Lung)
Lung Endothelial cell WK6-10 [Tmem100 high] (MC20),Lung,Endothelial cell,WK6-10,Tmem100 high,MC20,143,Endothelial cell_Tmem100 high(Lung)
Kidney Glomerular endothelial cell E14.5 [Egfl7 high] (MC20),Kidney,Glomerular endothelial cell,E14.5,Egfl7 high,MC20,0,Glomerular endothelial cell_Egfl7 high(Fetal_Kidney)
Pancreas Erythroblast P1 [Car2 high] (MC20),Pancreas,Erythroblast,P1,Car2 high,MC20,499,Erythroblast_Car2 high(NeonatalPancreas)
Calvaria Muscle cell P1 [Junb high] (MC20),Calvaria,Muscle cell,P1,Junb high,MC20,437,Muscle cell_Junb high(Neonatal-Calvaria)
Male  Gonad Sertoli cells E14.5 [Cst9 high] (MC20),Male  Gonad,Sertoli cells,E14.5,Cst9 high,MC20,906,Sertoli cells_Cst9 high(Male_Fetal_Gonad)
Female  Gonad Neutrophil E14.5 [S100a9 high] (MC20),Female  Gonad,Neutrophil,E14.5,S100a9 high,MC20,0,Neutrophil_S100a9 high(Female_Fetal_Gonad)
Male  Gonad Smooth muscle cell E14.5 [Mgp high] (MC20),Male  Gonad,Smooth muscle cell,E14.5,Mgp high,MC20,37,Smooth muscle cell_Mgp high(Male_Fetal_Gonad)
Calvaria Osteoblast P1 (MC20),Calvaria,Osteoblast,P1,,MC20,1120,Osteoblast (Neonatal-Calvaria)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Klf6 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Klf6 high,MC20,169,Secretory alveoli cell_Klf6 high(Mammary-Gland-Lactation)
Uterus Stromal cell WK6-10 [Cxcl14 high] (MC20),Uterus,Stromal cell,WK6-10,Cxcl14 high,MC20,445,Stromal cell_Cxcl14 high(Uterus)
Bone Marrow Mesenchyme Endothelial cells WK6-10 [Ly6c1 high] (MC20),Bone Marrow Mesenchyme,Endothelial cells,WK6-10,Ly6c1 high,MC20,184,Endothelial cells_Ly6c1 high(Bone_Marrow_Mesenchyme)
Mammary Gland T cell WK6-10 [involution Pclaf high] (MC20),Mammary Gland,T cell,WK6-10,involution Pclaf high,MC20,182,T cell_Pclaf high(Mammary-Gland-Involution)
Uterus Keratinocyte WK6-10 (MC20),Uterus,Keratinocyte,WK6-10,,MC20,25,Keratinocyte(Uterus)
Stem Cell ES 2C like E14.5 (MC20),Stem Cell,ES 2C like,E14.5,,MC20,24,ES_2C_like(Embryonic-Stem-Cell)
Intestine Stromal cell E14.5 [Stmn2 high] (MC20),Intestine,Stromal cell,E14.5,Stmn2 high,MC20,360,Stromal cell_Stmn2 high (Fetal_Intestine)
Brain Postmitotic neurons E14.5 [Lhx9 high] (MC20),Brain,Postmitotic neurons,E14.5,Lhx9 high,MC20,207,Postmitotic neurons_Lhx9 high(Fetal_Brain)
Heart Macrophage P1 (MC20),Heart,Macrophage,P1,,MC20,102,Macrophage(Neonatal-Heart)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Actb high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Actb high,MC20,170,Secretory alveoli cell_Actb high(Mammary-Gland-Lactation)
Ovary Stroma cell WK6-10 (MC20),Ovary,Stroma cell,WK6-10,,MC20,484,Stroma cell (Ovary)
Lung Alveolar bipotent progenitor WK6-10 (MC20),Lung,Alveolar bipotent progenitor,WK6-10,,MC20,32,Alveolar bipotent progenitor(Lung)
Placenta Progenitor trophoblast WK6-10 [Gjb3 high] (MC20),Placenta,Progenitor trophoblast,WK6-10,Gjb3 high,MC20,437,Progenitor trophoblast_Gjb3 high(Placenta)
Brain Hypothalamic ependymal cell P1 (MC20),Brain,Hypothalamic ependymal cell,P1,,MC20,0,Hypothalamic ependymal cell(Neonatal_Brain)
Heart Dendritic cell P1 (MC20),Heart,Dendritic cell,P1,,MC20,49,Dendritic cell(Neonatal-Heart)
Bone Marrow Mesenchyme CXCL12 abundant reticular cell WK6-10 (MC20),Bone Marrow Mesenchyme,CXCL12 abundant reticular cell,WK6-10,,MC20,66,CXCL12-abundant reticular cell(Bone_Marrow_Mesenchyme)
Brain Stromal cell P1 (MC20),Brain,Stromal cell,P1,,MC20,0,Stromal cell(Neonatal_Brain)
Stomach Mast cell E14.5 (MC20),Stomach,Mast cell,E14.5,,MC20,203,Mast cell(Fetal_Stomache)
Lung Erythroblast E14.5 [Mt2 high] (MC20),Lung,Erythroblast,E14.5,Mt2 high,MC20,254,Erythroblast_Mt2 high(Fetal_Lung)
Peripheral Blood Macrophage WK6-10 [Pf4 high] (MC20),Peripheral Blood,Macrophage,WK6-10,Pf4 high,MC20,41,Macrophage_Pf4 high(Peripheral_Blood)
Skin Muscle cell P1 [Lrrc15 high] (MC20),Skin,Muscle cell,P1,Lrrc15 high,MC20,96,Muscle cell_Lrrc15 high(Neonatal-Skin)
Thymus T cell WK6-10 [Ms4a4b high] (MC20),Thymus,T cell,WK6-10,Ms4a4b high,MC20,255,T cell_Ms4a4b high(Thymus)
Kidney Endothelial cell WK6-10 (MC20),Kidney,Endothelial cell,WK6-10,,MC20,79,Endothelial cell(Kidney)
Muscle Stromal cell P1 [Ndn high] (MC20),Muscle,Stromal cell,P1,Ndn high,MC20,814,Stromal cell_Ndn high(Neonatal-Muscle)
Small Intestine Epithelium of small intestinal villi WK6-10 [Gm23935 high] (MC20),Small Intestine,Epithelium of small intestinal villi,WK6-10,Gm23935 high,MC20,207,Epithelium of small intestinal villi_Gm23935 high(Small-Intestine)
Kidney Stromal cell WK6-10 [Ptgds high] (MC20),Kidney,Stromal cell,WK6-10,Ptgds high,MC20,79,Stromal cell_Ptgds high(Kidney)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Naxd high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Naxd high,MC20,87,Secretory alveoli cell_Naxd high(Mammary-Gland-Lactation)
Lung AT2 Cell WK6 (KO22),Lung,AT2 Cell,WK6,,KO22,2804,AT2 Cell(Lung)
Thymus gdT cell WK6-10 (MC20),Thymus,gdT cell,WK6-10,,MC20,77,gdT cell (Thymus)
Bone Marrow Mesenchyme Osteoblasts WK6-10 (MC20),Bone Marrow Mesenchyme,Osteoblasts,WK6-10,,MC20,470,Osteoblasts(Bone_Marrow_Mesenchyme)
Bone Marrow Mesenchyme Stromal cell WK6-10 [Cnmd high] (MC20),Bone Marrow Mesenchyme,Stromal cell,WK6-10,Cnmd high,MC20,210,Stromal cell_Cnmd high(Bone_Marrow_Mesenchyme)
Small Intestine Mast cell WK6-10 (MC20),Small Intestine,Mast cell,WK6-10,,MC20,9,Mast cell(Small-Intestine)
Bladder Endothelial cell WK6-10 [Ly6c1 high] (MC20),Bladder,Endothelial cell,WK6-10,Ly6c1 high,MC20,36,Endothelial cell_Ly6c1 high(Bladder)
Muscle T cell WK6-10 (MC20),Muscle,T cell,WK6-10,,MC20,9,T cell(Muscle)
Pancreas Neutrophil P1 [Fcnb high] (MC20),Pancreas,Neutrophil,P1,Fcnb high,MC20,191,Neutrophil_Fcnb high(NeonatalPancreas)
Peripheral Blood Neutrophil WK6-10 [Retnlg high] (MC20),Peripheral Blood,Neutrophil,WK6-10,Retnlg high,MC20,542,Neutrophil_Retnlg high(Peripheral_Blood)
Calvaria Endothelial cell P1 (MC20),Calvaria,Endothelial cell,P1,,MC20,74,Endothelial cell(Neonatal-Calvaria)
Intestine Erythroblast E14.5 [Car2 high] (MC20),Intestine,Erythroblast,E14.5,Car2 high,MC20,42,Erythroblast_Car2 high(Fetal_Intestine)
Mammary Gland Muscle cell WK6-10 [involution Pi16 high] (MC20),Mammary Gland,Muscle cell,WK6-10,involution Pi16 high,MC20,296,Muscle cell_Pi16 high(Mammary-Gland-Involution)
Mammary Gland Secretory alveoli cell WK6-10 [lactation AW112010 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation AW112010 high,MC20,81,Secretory alveoli cell_AW112010 high(Mammary-Gland-Lactation)
Skin Neuron P1 (MC20),Skin,Neuron,P1,,MC20,36,Neuron(Neonatal-Skin)
Mesenchyme Erythroblast E14.5 [Hbb-bs high] (MC20),Mesenchyme,Erythroblast,E14.5,Hbb-bs high,MC20,137,Erythroblast_Hbb-bs high(Embryonic-Mesenchyme)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Ighm1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Ighm1 high,MC20,110,Secretory alveoli cell_Ighm1 high(Mammary-Gland-Lactation)
Mammary Gland Dendritic cell WK6-10 [virgin Fscn1 high] (MC20),Mammary Gland,Dendritic cell,WK6-10,virgin Fscn1 high,MC20,224,Dendritic cell_Fscn1 high(Mammary-Gland-Virgin)
Pancreas Ductal cell WK6-10 (MC20),Pancreas,Ductal cell,WK6-10,,MC20,381,Ductal cell(Pancreas)
Liver T cell WK6-10 [Gzma high] (MC20),Liver,T cell,WK6-10,Gzma high,MC20,114,T cell_Gzma high(Liver)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Cidea&Fth1&Wfdc3 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Cidea&Fth1&Wfdc3 high,MC20,159,Secretory alveoli cell_Cidea&Fth1&Wfdc3 high(Mammary-Gland-Lactation)
Heart Stromal cell P1 [Fmod high] (MC20),Heart,Stromal cell,P1,Fmod high,MC20,295,Stromal cell_Fmod high(Neonatal-Heart)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Ube2e3 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Ube2e3 high,MC20,111,Secretory alveoli cell_Ube2e3 high(Mammary-Gland-Lactation)
Stomach Neutrophil E14.5 (MC20),Stomach,Neutrophil,E14.5,,MC20,81,Neutrophil(Fetal_Stomache)
Mammary Gland Ductal luminal cell WK6-10 [pregnancy] (MC20),Mammary Gland,Ductal luminal cell,WK6-10,pregnancy,MC20,2109,Ductal luminal cell(Mammary-Gland-Pregrancy)
Skin Melanocyte P1 (MC20),Skin,Melanocyte,P1,,MC20,34,Melanocyte(Neonatal-Skin)
Mesenchymal Stem Cell Cultured Mesenchymal stem cell WK6-10 [Tmsb10 high] (MC20),Mesenchymal Stem Cell Cultured,Mesenchymal stem cell,WK6-10,Tmsb10 high,MC20,3564,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Klf2 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Klf2 high,MC20,174,Secretory alveoli cell_Klf2 high(Mammary-Gland-Lactation)
Placenta Stromal cell WK6-10 (MC20),Placenta,Stromal cell,WK6-10,,MC20,164,Stromal cell(Placenta)
Lung B Cell WK6-10 (MC20),Lung,B Cell,WK6-10,,MC20,698,B Cell(Lung)
Kidney Stromal cell WK6-10 [Cxcl10 high] (MC20),Kidney,Stromal cell,WK6-10,Cxcl10 high,MC20,35,Stromal cell_Cxcl10 high(Kidney)
Kidney Erythroblast E14.5 (MC20),Kidney,Erythroblast,E14.5,,MC20,0,Erythroblast(Fetal_Kidney)
Muscle Endothelial cell WK6-10 (MC20),Muscle,Endothelial cell,WK6-10,,MC20,27,Endothelial cell(Muscle)
Placenta Erythroblast WK6-10 [Hbb-y high] (MC20),Placenta,Erythroblast,WK6-10,Hbb-y high,MC20,76,Erythroblast_Hbb-y high(Placenta)
Small Intestine Epithelium of small intestinal villi WK6-10 [Fabp1 high] (MC20),Small Intestine,Epithelium of small intestinal villi,WK6-10,Fabp1 high,MC20,582,Epithelium of small intestinal villi_Fabp1 high(Small-Intestine)
Small Intestine T cell WK6-10 [Cd7 high] (MC20),Small Intestine,T cell,WK6-10,Cd7 high,MC20,609,T cell_Cd7 high(Small-Intestine)
Ovary Ovarian vascular surface endothelium cell WK6-10 (MC20),Ovary,Ovarian vascular surface endothelium cell,WK6-10,,MC20,153,Ovarian vascular surface endothelium cell(Ovary)
Placenta Spongiotrophoblast WK6-10 [Hsd11b2 high] (MC20),Placenta,Spongiotrophoblast,WK6-10,Hsd11b2 high,MC20,78,Spongiotrophoblast_Hsd11b2 high(Placenta)
Intestine Acinar cell E14.5 (MC20),Intestine,Acinar cell,E14.5,,MC20,74,Acinar cell(Fetal_Intestine)
Mammary Gland Muscle cell WK6-10 [lactation] (MC20),Mammary Gland,Muscle cell,WK6-10,lactation,MC20,46,Muscle cell(Mammary-Gland-Lactation)
Muscle Epithelial cell P1 (MC20),Muscle,Epithelial cell,P1,,MC20,290,Epithelial cell(Neonatal-Muscle)
Muscle Dendritic cell WK6-10 (MC20),Muscle,Dendritic cell,WK6-10,,MC20,10,Dendritic cell(Muscle)
Kidney Proximal tubule brush border cell WK6-10 (MC20),Kidney,Proximal tubule brush border cell,WK6-10,,MC20,960,Proximal tubule brush border cell(Kidney)
Lung Plasmacytoid dendritic cell WK6-10 (MC20),Lung,Plasmacytoid dendritic cell,WK6-10,,MC20,295,Plasmacytoid dendritic cell(Lung)
Muscle Skeletal muscle cell P1 [Tnnc2 high] (MC20),Muscle,Skeletal muscle cell,P1,Tnnc2 high,MC20,35,Skeletal muscle cell_Tnnc2 high(Neonatal-Muscle)
Placenta Labyrinthine trophoblast WK6-10 (MC20),Placenta,Labyrinthine trophoblast,WK6-10,,MC20,23,Labyrinthine trophoblast(Placenta)
Bone Marrow c kit Monocyte progenitor WK6-10 (MC20),Bone Marrow c kit,Monocyte progenitor,WK6-10,,MC20,2374,Monocyte progenitor(Bone-Marrow_c-kit)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Srsf11 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Srsf11 high,MC20,109,Secretory alveoli cell_Srsf11 high(Mammary-Gland-Lactation)
Lung Alveolar macrophage WK6-10 [Ear2 high] (MC20),Lung,Alveolar macrophage,WK6-10,Ear2 high,MC20,499,Alveolar macrophage_Ear2 high(Lung)
Mammary Gland Dividing cell WK6-10 [virgin] (MC20),Mammary Gland,Dividing cell,WK6-10,virgin,MC20,265,Dividing cell(Mammary-Gland-Virgin)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Ccng1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Ccng1 high,MC20,120,Secretory alveoli cell_Ccng1 high(Mammary-Gland-Lactation)
Mammary Gland Macrophage WK6-10 [involution Apoe high] (MC20),Mammary Gland,Macrophage,WK6-10,involution Apoe high,MC20,140,Macrophage_Apoe high(Mammary-Gland-Involution)
Kidney Myoblast E14.5 (MC20),Kidney,Myoblast,E14.5,,MC20,0,Myoblast(Fetal_Kidney)
Mammary Gland Dendritic cell WK6-10 [virgin Siglech high] (MC20),Mammary Gland,Dendritic cell,WK6-10,virgin Siglech high,MC20,68,Dendritic cell_Siglech high(Mammary-Gland-Virgin)
Small Intestine T cell WK6-10 [Ms4a4b high] (MC20),Small Intestine,T cell,WK6-10,Ms4a4b high,MC20,60,T cell_Ms4a4b high(Small-Intestine)
Heart Endothelial cell P1 [Igfbp5 high] (MC20),Heart,Endothelial cell,P1,Igfbp5 high,MC20,349,Endothelial cell_Igfbp5 high(Neonatal-Heart)
Stem Cell ES E14.5 [Rps28 high] (MC20),Stem Cell,ES,E14.5,Rps28 high,MC20,1565,ES_Rps28_high(Embryonic-Stem-Cell)
Kidney Intercalated cells of collecting duct WK6-10 [Slc26a4 high] (MC20),Kidney,Intercalated cells of collecting duct,WK6-10,Slc26a4 high,MC20,265,Intercalated cells of collecting duct_Slc26a4 high(Kidney)
Kidney Distal collecting duct principal cell WK6-10 [Hsd11b2 high] (MC20),Kidney,Distal collecting duct principal cell,WK6-10,Hsd11b2 high,MC20,89,Distal collecting duct principal cell_Hsd11b2 high(Kidney)
Kidney Glomerular epithelial cell E14.5 [Aldh1a2 high] (MC20),Kidney,Glomerular epithelial cell,E14.5,Aldh1a2 high,MC20,2,Glomerular epithelial cell_Aldh1a2 high(Fetal_Kidney)
Mammary Gland Dendritic cell WK6-10 [involution Siglech high] (MC20),Mammary Gland,Dendritic cell,WK6-10,involution Siglech high,MC20,25,Dendritic cell_Siglech high(Mammary-Gland-Involution)
Muscle Neutrophil P1 [Elane high] (MC20),Muscle,Neutrophil,P1,Elane high,MC20,92,Neutrophil_Elane high(Neonatal-Muscle)
Testis Spermatocyte WK6-10 [Slc2a3 high] (MC20),Testis,Spermatocyte,WK6-10,Slc2a3 high,MC20,816,Spermatocyte_Slc2a3 high(Testis)
Muscle Muscle cell P1 [Myl9 high] (MC20),Muscle,Muscle cell,P1,Myl9 high,MC20,228,Muscle cell_Myl9 high(Neonatal-Muscle)
Uterus Monocyte WK6-10 (MC20),Uterus,Monocyte,WK6-10,,MC20,78,Monocyte(Uterus)
Lung Dividing cells WK6-10 (MC20),Lung,Dividing cells,WK6-10,,MC20,44,Dividing cells(Lung)
Uterus NK cell WK6-10 (MC20),Uterus,NK cell,WK6-10,,MC20,186,NK cell(Uterus)
Mammary Gland Luminal cell WK6-10 [pregnancy] (MC20),Mammary Gland,Luminal cell,WK6-10,pregnancy,MC20,16,Luminal cell(Mammary-Gland-Pregrancy)
Male  Gonad Cycling cells E14.5 (MC20),Male  Gonad,Cycling cells,E14.5,,MC20,120,Cycling cells(Male_Fetal_Gonad)
Mammary Gland Myeloid leukocyte WK6-10 [pregnancy] (MC20),Mammary Gland,Myeloid leukocyte,WK6-10,pregnancy,MC20,140,Myeloid leukocyte(Mammary-Gland-Pregrancy)
Peripheral Blood Basophil WK6-10 [Prss34 high] (MC20),Peripheral Blood,Basophil,WK6-10,Prss34 high,MC20,58,Basophil_Prss34 high(Peripheral_Blood)
Kidney S3 proximal tubule cells WK6-10 (MC20),Kidney,S3 proximal tubule cells,WK6-10,,MC20,255,S3 proximal tubule cells(Kidney)
Pancreas Erythroblast P1 [Hba-a2 high] (MC20),Pancreas,Erythroblast,P1,Hba-a2 high,MC20,222,Erythroblast_Hba-a2 high(NeonatalPancreas)
Heart Endothelial cell P1 [Eln high] (MC20),Heart,Endothelial cell,P1,Eln high,MC20,15,Endothelial cell_Eln high(Neonatal-Heart)
Mammary Gland Stromal cell WK6-10 [virgin Col3a1 high] (MC20),Mammary Gland,Stromal cell,WK6-10,virgin Col3a1 high,MC20,464,Stromal cell_Col3a1 high(Mammary-Gland-Virgin)
Muscle Mesenchymal cell P1 (MC20),Muscle,Mesenchymal cell,P1,,MC20,634,Mesenchymal cell(Neonatal-Muscle)
Bone Marrow Mesenchyme Basophils WK6-10 (MC20),Bone Marrow Mesenchyme,Basophils,WK6-10,,MC20,244,Basophils(Bone_Marrow_Mesenchyme)
Liver Endothelial cell WK6-10 (MC20),Liver,Endothelial cell,WK6-10,,MC20,1196,Endothelial cell(Liver)
Lung Dividing dendritic cells WK6-10 (MC20),Lung,Dividing dendritic cells,WK6-10,,MC20,33,Dividing dendritic cells(Lung)
Kidney Macrophage WK6-10 [Ccl4 high] (MC20),Kidney,Macrophage,WK6-10,Ccl4 high,MC20,193,Macrophage_Ccl4 high (Kidney)
Bladder Stromal cell WK6-10 [Dpt high] (MC20),Bladder,Stromal cell,WK6-10,Dpt high,MC20,717,Stromal cell_Dpt high(Bladder)
Thymus DPT cell WK6-10 (MC20),Thymus,DPT cell,WK6-10,,MC20,1012,DPT cell(Thymus)
Trophoblast Stem Cell TS WK6-10 [Mrpl12 high] (MC20),Trophoblast Stem Cell,TS,WK6-10,Mrpl12 high,MC20,16180,TS_Mrpl12_high(Trophoblast-Stem-Cell)
Mesenchymal Stem Cell Cultured Mesenchymal stem cell WK6-10 [Cxcl1 high] (MC20),Mesenchymal Stem Cell Cultured,Mesenchymal stem cell,WK6-10,Cxcl1 high,MC20,3697,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Fcer1g high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Fcer1g high,MC20,68,Secretory alveoli cell_Fcer1g high(Mammary-Gland-Lactation)
Peripheral Blood B cell WK6-10 [Vpreb3 high] (MC20),Peripheral Blood,B cell,WK6-10,Vpreb3 high,MC20,189,B cell_Vpreb3 high(Peripheral_Blood)
Stomach Acinar cell E14.5 [Spp1 high] (MC20),Stomach,Acinar cell,E14.5,Spp1 high,MC20,335,Acinar cell_Spp1 high(Fetal_Stomache)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Igkv1-110 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Igkv1-110 high,MC20,189,Secretory alveoli cell_Igkv1-110 high(Mammary-Gland-Lactation)
Muscle B cell WK6-10 [Jchain high] (MC20),Muscle,B cell,WK6-10,Jchain high,MC20,22,B cell_Jchain high(Muscle)
Muscle Mast cell P1 (MC20),Muscle,Mast cell,P1,,MC20,88,Mast cell(Neonatal-Muscle)
Small Intestine Dendritic cell WK6-10 [Siglech high] (MC20),Small Intestine,Dendritic cell,WK6-10,Siglech high,MC20,52,Dendritic cell_Siglech high(Small-Intestine)
Calvaria Stromal cell P1 [Col1a1 high] (MC20),Calvaria,Stromal cell,P1,Col1a1 high,MC20,323,Stromal cell_Col1a1 high(Neonatal-Calvaria)
Placenta B cell WK6-10 (MC20),Placenta,B cell,WK6-10,,MC20,35,B cell(Placenta)
Bone Marrow c kit B cell WK6-10 (MC20),Bone Marrow c kit,B cell,WK6-10,,MC20,388,B cell(Bone-Marrow_c-kit)
Brain Granulocyte WK6-10 [Ngp high] (MC20),Brain,Granulocyte,WK6-10,Ngp high,MC20,10,Granulocyte_Ngp high(Brain)
Liver Erythroblast WK6-10 [Hbb-bt high] (MC20),Liver,Erythroblast,WK6-10,Hbb-bt high,MC20,62,Erythroblast_Hbb-bt high(Liver)
Mesenchyme Neuronal Progenitors E14.5 (MC20),Mesenchyme,Neuronal Progenitors,E14.5,,MC20,27,Neuronal Progenitors(Embryonic-Mesenchyme)
Skin Erythroblast P1 (MC20),Skin,Erythroblast,P1,,MC20,241,Erythroblast(Neonatal-Skin)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Kif5b high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Kif5b high,MC20,147,Secretory alveoli cell_Kif5b high(Mammary-Gland-Lactation)
Mesenchyme Lymphoid progenitor cell E14.5 (MC20),Mesenchyme,Lymphoid progenitor cell,E14.5,,MC20,32,Lymphoid progenitor cell(Embryonic-Mesenchyme)
Lung Endothelial cells WK6-10 [Vwf high] (MC20),Lung,Endothelial cells,WK6-10,Vwf high,MC20,74,Endothelial cells_Vwf high(Lung)
Stomach Antral mucous cell WK6-10 (MC20),Stomach,Antral mucous cell,WK6-10,,MC20,220,Antral mucous cell (Stomach)
Small Intestine Erythroblast WK6-10 (MC20),Small Intestine,Erythroblast,WK6-10,,MC20,536,Erythroblast(Small-Intestine)
Placenta PE lineage cell WK6-10 [S100g high] (MC20),Placenta,PE lineage cell,WK6-10,S100g high,MC20,252,PE lineage cell_S100g high(Placenta)
Mammary Gland Endothelial cell WK6-10 [involution Fabp4 high] (MC20),Mammary Gland,Endothelial cell,WK6-10,involution Fabp4 high,MC20,150,Endothelial cell_Fabp4 high(Mammary-Gland-Involution)
Stomach Epithelial cell E14.5 (MC20),Stomach,Epithelial cell,E14.5,,MC20,495,Epithelial cell(Fetal_Stomache)
Kidney Stromal cell WK6-10 [Dcn high] (MC20),Kidney,Stromal cell,WK6-10,Dcn high,MC20,63,Stromal cell_Dcn high(Kidney)
Muscle Stromal cell WK6-10 (MC20),Muscle,Stromal cell,WK6-10,,MC20,23,Stromal cell(Muscle)
Mammary Gland Dendritic cell WK6-10 [pregnancy Fscn1 high] (MC20),Mammary Gland,Dendritic cell,WK6-10,pregnancy Fscn1 high,MC20,41,Dendritic cell_Fscn1 high(Mammary-Gland-Pregrancy)
Brain Macrophage P1 (MC20),Brain,Macrophage,P1,,MC20,0,Macrophage(Neonatal_Brain)
Muscle Erythroblast P1 [Hbb-bs high] (MC20),Muscle,Erythroblast,P1,Hbb-bs high,MC20,66,Erythroblast_Hbb-bs high(Neonatal-Muscle)
Kidney Glomerular podocytes cell E14.5 (MC20),Kidney,Glomerular podocytes cell,E14.5,,MC20,0,Glomerular podocytes cell(Fetal_Kidney)
Mammary Gland Macrophage WK6-10 [lactation C1qb high] (MC20),Mammary Gland,Macrophage,WK6-10,lactation C1qb high,MC20,212,Macrophage_C1qb high(Mammary-Gland-Lactation)
Kidney Stromal cell E14.5 [Penk high] (MC20),Kidney,Stromal cell,E14.5,Penk high,MC20,0,Stromal cell_Penk high(Fetal_Kidney)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Ifi35 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Ifi35 high,MC20,157,Secretory alveoli cell_Ifi35 high(Mammary-Gland-Lactation)
Bone Marrow c kit Eosinophil progenitor cell WK6-10 (MC20),Bone Marrow c kit,Eosinophil progenitor cell,WK6-10,,MC20,182,Eosinophil progenitor cell(Bone-Marrow_c-kit)
Ovary Thecal cell WK6-10 (MC20),Ovary,Thecal cell,WK6-10,,MC20,473,Thecal cell(Ovary)
Spleen Plasma cell WK6-10 (MC20),Spleen,Plasma cell,WK6-10,,MC20,21,Plasma cell(Spleen)
Stomach Tuft cell WK6-10 (MC20),Stomach,Tuft cell,WK6-10,,MC20,30,Tuft cell(Stomach)
liver B cell E14.5 (MC20),liver,B cell,E14.5,,MC20,22,B cell(Fetal-liver)
Pancreas T cell WK6-10 (MC20),Pancreas,T cell,WK6-10,,MC20,39,T cell(Pancreas)
Skin Osteoblast P1 [Ppic high] (MC20),Skin,Osteoblast,P1,Ppic high,MC20,897,Osteoblast_Ppic high(Neonatal-Skin)
Small Intestine T cell WK6-10 [Ccl5 high] (MC20),Small Intestine,T cell,WK6-10,Ccl5 high,MC20,662,T cell_Ccl5 high(Small-Intestine)
Pancreas Stromal cell WK6-10 [Smoc2 high] (MC20),Pancreas,Stromal cell,WK6-10,Smoc2 high,MC20,519,Stromal cell_Smoc2 high(Pancreas)
Muscle Macrophage P1 [Pf4 high] (MC20),Muscle,Macrophage,P1,Pf4 high,MC20,111,Macrophage_Pf4 high(Neonatal-Muscle)
Mammary Gland B cell WK6-10 [lactation Jchain high] (MC20),Mammary Gland,B cell,WK6-10,lactation Jchain high,MC20,554,B cell_Jchain high(Mammary-Gland-Lactation)
Pancreas Stromal cell WK6-10 [Mfap4 high] (MC20),Pancreas,Stromal cell,WK6-10,Mfap4 high,MC20,71,Stromal cell_Mfap4 high(Pancreas)
Liver Neutrophil WK6-10 [Ngp high] (MC20),Liver,Neutrophil,WK6-10,Ngp high,MC20,14,Neutrophil_Ngp high(Liver)
Calvaria Neutrophil P1 (MC20),Calvaria,Neutrophil,P1,,MC20,165,Neutrophil(Neonatal-Calvaria)
Uterus Stromal cell WK6-10 [Has1 high] (MC20),Uterus,Stromal cell,WK6-10,Has1 high,MC20,268,Stromal cell_Has1 high(Uterus)
Skin Adipocyte P1 (MC20),Skin,Adipocyte,P1,,MC20,368,Adipocyte(Neonatal-Skin)
